YEAR,COUNTY,MSSA_ID,MSSA_NAME,MSSA_TYPE,Race_ethnicity,Population,Adolescent_births,Indicator,Annotation,Indicator_rate,Indicator_ll,Indicator_ul
2010-2012,Orange,115.2d,Laguna Beach/Laguna Woods,Urban,BLACK,35,0,PBHP,,0,,
2010-2012,Orange,116g,Santa Ana South,Urban,BLACK,108,0,ABR,,0,,
2010-2012,Orange,116g,Santa Ana South,Urban,BLACK,108,0,PRB,,0,,
2010-2012,Orange,116g,Santa Ana South,Urban,BLACK,108,0,PBHP,,0,,
2010-2012,Orange,116i,Garden Grove South/Santa Ana West,Urban,BLACK,105,0,ABR,,0,,
2010-2012,Orange,116i,Garden Grove South/Santa Ana West,Urban,BLACK,105,0,PRB,,0,,
2010-2012,Orange,116i,Garden Grove South/Santa Ana West,Urban,BLACK,105,0,PBHP,,0,,
2010-2012,Orange,116n,Anaheim Hills/City of Orange East/Villa Park,Urban,BLACK,137,0,ABR,,0,,
2010-2012,Orange,116n,Anaheim Hills/City of Orange East/Villa Park,Urban,BLACK,137,0,PRB,,0,,
2010-2012,Orange,116n,Anaheim Hills/City of Orange East/Villa Park,Urban,BLACK,137,0,PBHP,,0,,
2010-2012,Orange,116p,Costa Mesa,Urban,ASIAN,645,0,ABR,,0,,
2010-2012,Orange,116p,Costa Mesa,Urban,ASIAN,645,0,PRB,,0,,
2010-2012,Orange,116p,Costa Mesa,Urban,ASIAN,645,0,PBHP,,0,,
2010-2012,Orange,116t,Huntington Beach South,Urban,BLACK,38,0,ABR,,0,,
2010-2012,Orange,116t,Huntington Beach South,Urban,BLACK,38,0,PRB,,0,,
2010-2012,Orange,116t,Huntington Beach South,Urban,BLACK,38,0,PBHP,,0,,
2010-2012,Orange,116u,Huntington Beach West/Seal Beach West,Urban,ASIAN,628,0,ABR,,0,,
2010-2012,Orange,116u,Huntington Beach West/Seal Beach West,Urban,ASIAN,628,0,PRB,,0,,
2010-2012,Orange,116u,Huntington Beach West/Seal Beach West,Urban,ASIAN,628,0,PBHP,,0,,
2010-2012,Orange,116u,Huntington Beach West/Seal Beach West,Urban,BLACK,82,0,ABR,,0,,
2010-2012,Orange,116u,Huntington Beach West/Seal Beach West,Urban,BLACK,82,0,PRB,,0,,
2010-2012,Orange,116u,Huntington Beach West/Seal Beach West,Urban,BLACK,82,0,PBHP,,0,,
2010-2012,Orange,116v,Foothill Ranch/IrvineNortheast/Lake Forest West/Portola Hills/Tustin East,Urban,BLACK,199,0,ABR,,0,,
2010-2012,Orange,116v,Foothill Ranch/IrvineNortheast/Lake Forest West/Portola Hills/Tustin East,Urban,BLACK,199,0,PRB,,0,,
2010-2012,Orange,116v,Foothill Ranch/IrvineNortheast/Lake Forest West/Portola Hills/Tustin East,Urban,BLACK,199,0,PBHP,,0,,
2010-2012,Placer,117,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,Rural,ASIAN,100,0,ABR,,0,,
2010-2012,Placer,117,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,Rural,ASIAN,100,0,PRB,,0,,
2010-2012,Placer,117,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,Rural,ASIAN,100,0,PBHP,,0,,
2010-2012,Placer,117,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,Rural,BLACK,9,0,ABR,,0,,
2010-2012,Placer,117,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,Rural,BLACK,9,0,PRB,,0,,
2010-2012,Placer,117,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,Rural,BLACK,9,0,PBHP,,0,,
2010-2012,Placer,117,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,Rural,WHITE,549,0,ABR,,0,,
2010-2012,Placer,117,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,Rural,WHITE,549,0,PRB,,0,,
2010-2012,Placer,117,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,Rural,WHITE,549,0,PBHP,,0,,
2010-2012,Placer,118,Colfax/Meadow Vista,Rural,ASIAN,35,0,ABR,,0,,
2010-2012,Placer,118,Colfax/Meadow Vista,Rural,ASIAN,35,0,PRB,,0,,
2010-2012,Placer,118,Colfax/Meadow Vista,Rural,ASIAN,35,0,PBHP,,0,,
2010-2012,Calaveras,12,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,Rural,ASIAN,68,0,ABR,,0,,
2010-2012,Calaveras,12,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,Rural,ASIAN,68,0,PRB,,0,,
2010-2012,Calaveras,12,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,Rural,ASIAN,68,0,PBHP,,0,,
2010-2012,Calaveras,12,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,Rural,BLACK,26,0,ABR,,0,,
2010-2012,Calaveras,12,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,Rural,BLACK,26,0,PRB,,0,,
